add_time,createTime,ecBizStoreId,endTime,id,orderNo,pageNum,pageSize,rightsStatusList,rightsType,updateEndTime,updateStartTime
2020-05-05,1584699123000,,,3630125389,47970513013889,,,,2,,
2020-05-05,1584699114000,,,3630153989,47970513013889,,,,2,,
2020-05-05,1584688586000,,,3629848089,47962299013789,,,,2,,
2020-05-05,1584677252000,,,3629627789,47936946010889,,,,4,,
2020-05-05,1584674386000,,,3629548189,47943054012689,,,,2,,
2020-05-05,1584617209000,,,3628922389,47894470018689,,,,2,,
2020-05-05,1584616719000,,,3628859989,47891760016589,,,,2,,
2020-05-05,1584614544000,,,3628867589,47870449016589,,,,2,,
2020-05-05,1584613794000,,,3628870089,47889833016589,,,,2,,
2020-05-05,1584603843000,,,3628663589,47869846018789,,,,2,,
2020-05-05,1584509231000,,,3627205689,47545609013189,,,,2,,
2020-05-05,1584412715000,,,3625493889,47510073018789,,,,2,,
2020-05-05,1584335937000,,,3624322589,47428442011789,,,,4,,
2020-05-05,1584334844000,,,3624293589,47310634010189,,,,2,,
2020-05-05,1584260815000,,,3623066789,47204029015589,,,,4,,
2020-05-05,1584260664000,,,3623074989,47220940012389,,,,4,,
2020-05-05,1584260562000,,,3623093489,47278467014689,,,,4,,
2020-05-05,1584260538000,,,3623093289,47295617014389,,,,4,,
2020-05-05,1584260512000,,,3623082389,47312159012789,,,,4,,
2020-05-05,1584260483000,,,3623093089,47316366012789,,,,4,,
2020-05-05,1584258987000,,,3623046589,47351208019789,,,,2,,
2020-05-05,1583501942000,,,3608328789,46180792011589,,,,2,,
2020-05-05,1583419136000,,,3606614689,46181498013889,,,,2,,
2020-05-05,1583314630000,,,3604213389,46108198018789,,,,4,,
2020-05-05,1583310767000,,,3604070889,46112413011589,,,,1,,
2020-05-05,1583310571000,,,3604029589,46112602013789,,,,2,,
2020-05-05,1583310526000,,,3604044389,46112199010789,,,,1,,
